Parti,Durum,Tahmin,Doğru_mu,Max_MAE,Ort_MAE,İlk_Alarm_t
129469,Anormal,Normal,False,237.70175901392741,71.70029534209596,
129487,Anormal,Anormal,True,598.0118954163391,256.89318074402155,31.0
129588,Normal,Anormal,False,342.25616858231155,36.88100157757192,41.0
129705,Normal,Normal,True,105.75344237311276,15.010788599700348,
129706,Normal,Normal,True,241.80481946520777,31.83271278752839,
129737,Normal,Anormal,False,327.8619861171289,29.754144139984522,214.0
129938,Normal,Normal,True,241.79404340621713,37.31360232182047,
129939,Normal,Normal,True,247.76148457812545,30.4437353072792,
130246,Anormal,Anormal,True,854.1135878460747,353.22434110288157,31.0
130565,Anormal,Anormal,True,334.41504265325415,97.37992471529886,321.0
130567,Anormal,Anormal,True,258.0166702825566,76.7624687088404,51.0
130569,Anormal,Anormal,True,318.05292716417995,118.1666499601557,56.0
